word,sentiment
"rapist,",negative
"raunch,",negative
"rectal,",negative
"rectum,",negative
"rectus,",negative
"reefer,",negative
"reetard,",negative
"reich,",negative
"retard,",negative
"retarded,",negative
"revue,",negative
"rimjob,",negative
"ritard,",negative
"rtard,",negative
"r-tard,",negative
"rum,",negative
"rump,",negative
"rumprammer,",negative
"ruski,",negative
"s.h.i.t.,",negative
"s.o.b.,",negative
"s0b,",negative
"sadism,",negative
"sadist,",negative
"scag,",negative
"scantily,",negative
"schizo,",negative
"schlong,",negative
"screw,",negative
"screwed,",negative
"scrog,",negative
"scrot,",negative
"scrote,",negative
"scrotum,",negative
"scrud,",negative
"scum,",negative
"seaman,",negative
"seamen,",negative
"seduce,",negative
"semen,",negative
"sex,",negative
"sexual,",negative
"sh1t,",negative
"s-h-1-t,",negative
"shamedame,",negative
"shit,",negative
"s-h-i-t,",negative
"shite,",negative
"shiteater,",negative
"shitface,",negative
"shithead,",negative
"shithole,",negative
"shithouse,",negative
"shits,",negative
"shitt,",negative
"shitted,",negative
"shitter,",negative
"shitty,",negative
"shiz,",negative
"sissy,",negative
"skag,",negative
"skank,",negative
"slave,",negative
"sleaze,",negative
"sleazy,",negative
"slut,",negative
"slutdumper,",negative
"slutkiss,",negative
"sluts,",negative
"smegma,",negative
"smut,",negative
"smutty,",negative
"snatch,",negative
"sniper,",negative
"snuff,",negative
"s-o-b,",negative
"sodom,",negative
"souse,",negative
"soused,",negative
"sperm,",negative
"spic,",negative
"spick,",negative
"spik,",negative
"spiks,",negative
"spooge,",negative
"spunk,",negative
"steamy,",negative
"stfu,",negative
"stiffy,",negative
"stoned,",negative
"strip,",negative
"stroke,",negative
"stupid,",negative
"suck,",negative
"sucked,",negative
"sucking,",negative
"sumofabiatch,",negative
"t1t,",negative
"tampon,",negative
"tard,",negative
"tawdry,",negative
"teabagging,",negative
"teat,",negative
"terd,",negative
"teste,",negative
"testee,",negative
"testes,",negative
"testicle,",negative
"testis,",negative
"thrust,",negative
"thug,",negative
"tinkle,",negative
"tit,",negative
"titfuck,",negative
"titi,",negative
"tits,",negative
"tittiefucker,",negative
"titties,",negative
"titty,",negative
"tittyfuck,",negative
"tittyfucker,",negative
"toke,",negative
"toots,",negative
"tramp,",negative
"transsexual,",negative
"trashy,",negative
"tubgirl,",negative
"turd,",negative
"tush,",negative
"twat,",negative
"twats,",negative
"ugly,",negative
"undies,",negative
"unwed,",negative
"urinal,",negative
"urine,",negative
"uterus,",negative
"uzi,",negative
"vag,",negative
"vagina,",negative
"valium,",negative
"viagra,",negative
"virgin,",negative
"vixen,",negative
"vodka,",negative
"vomit,",negative
"voyeur,",negative
"vulgar,",negative
"vulva,",negative
"wad,",negative
"wang,",negative
"wank,",negative
"wanker,",negative
"wazoo,",negative
"wedgie,",negative
"weed,",negative
"weenie,",negative
"weewee,",negative
"weiner,",negative
"weirdo,",negative
"wench,",negative
"wetback,",negative
"wh0re,",negative
"wh0reface,",negative
"whitey,",negative
"whiz,",negative
"whoralicious,",negative
"whore,",negative
"whorealicious,",negative
"whored,",negative
"whoreface,",negative
"whorehopper,",negative
"whorehouse,",negative
"whores,",negative
"whoring,",negative
"wigger,",negative
"womb,",negative
"woody,",negative
"wop,",negative
"wtf,",negative
"x-rated,",negative
"xxx,",negative
"yeasty,",negative
"yobbo,",negative
zoophile,negative
ass,negative
wtf,negative
tf,negative
puss,negative
pussy,negative
dick,negative
dickhead,negative
crackhead,negative
hell,negative
dirty,negative
beat,negative
nasty,negative
dumb,negative
crazy,negative
mf,negative
mtf,negative
fuck,negative
fucker,negative
whore,negative
bitch,negative
BFD,negative
FFS,negative
STFU,negative
GTFO,negative
FYFI,negative
shit,negative
damn,negative
GD,negative
FNG,negative
FTW,negative
WTAF,negative
WTGDMF,negative
WETF,negative
 WTFFF,negative
 WTFFFF,negative
 WTFFFFF,negative
LMFAO,negative
DILLIGAF,negative
IDGAF,negative
FML,negative
Fubar,negative
OMFG,negative
T&A,negative
tits,negative
boob,negative
milf,negative
JFGI ,negative
NFG,negative
FYVM,negative
ASAFP,negative
mofo,negative
fuxache,negative
